1st Depth,2nd Depth,3rd Depth,경로,설명,기능/액션,필수 여부,비고
-,단원 학습,음성 읽기 (TTS),/unit/:unitId,현재 단원 내용을 음성으로 읽기,텍스트 → TTS API 호출 → 음성 출력,선택,
-,단원 학습,AI 질의응답,/unit/:unitId,AI에게 질문하고 답변 받기,질문 입력 → API 호출 → 답변 표시,선택,
-,단원 학습,유사 콘텐츠 추천 (RAG),/unit/:unitId,RAG 기반 유사 개념/문제/본문 추천,현재 단원 텍스트 → Vector DB 검색 → 유사 콘텐츠 표시,선택,
-,단원 학습,정답 입력 및 확인,/unit/:unitId,문제 정답 입력 및 채점,답안 입력 → 정답 확인 → 결과 표시,선택,
-,단원 학습,단원 타입별 표시,/unit/:unitId,개념/본문/문제 타입에 따른 UI 표시,타입 확인 → 해당 UI 렌더링,필수,
-,단원 학습,텍스트 찾기 (Ctrl+F),/unit/:unitId,텍스트 검색 기능 (2026학년도 수능 대응),Ctrl+F → 검색어 입력 → 결과 하이라이트,선택,실제 수능 환경 반영
-,단원 학습,특수문자 변형 처리,/unit/:unitId,2026학년도 수능 특수문자 변형 자동 매칭,괄호 문자 변형 (가) ↔ ㈎ 자동 매칭,선택,실제 수능 환경 반영
-,단원 학습,수식 계산기 (수학),/unit/:unitId,수식 계산 도구 (한소네 대체),수식 입력 → 계산 → 결과 출력,선택,수학 과목 전용
-,단원 학습,음성 명령 (STT),/unit/:unitId,음성으로 명령 입력,음성 입력 → 명령 인식 → 액션 실행,선택,
-,단원 학습,학습 완료 처리,/unit/:unitId,학습 완료 시 요약 화면으로 이동,학습 완료 → /summary 이동,필수,
-,단원 학습,Q키 강제 종료,/unit/:unitId,Q키로 학습 세션 강제 종료,Q키 입력 → /summary 이동,선택,
-,학습 요약,-,/summary,학습 세션 완료 후 통계 및 요약 표시,세션 완료 시 자동 이동,필수,학습 완료 후 접근
-,학습 요약,세션 통계 표시,/summary,학습 문제 수/정답률/학습 시간 표시,세션 통계 조회 → 표시,필수,
-,학습 요약,전체 진도 표시,/summary,전체 학습 진도 퍼센트 표시,진도 데이터 조회 → 진도 바 표시,필수,
-,학습 요약,다음 강의로 이동,/summary,다음 강의로 계속 학습,다음 강의 조회 → 단원 학습으로 이동,필수,
-,학습 요약,홈으로 이동,/summary,홈 화면으로 이동,홈 화면으로 이동,필수,
-,문학 강의 목록,-,/literature/lectures,문학 강의 목록 조회,강의 목록 조회,필수,
-,문학 강의 목록,강의 목록 조회,/literature/lectures,문학 강의 목록 표시,API 호출 → 강의 목록 렌더링,필수,
-,문학 강의 목록,강의 선택,/literature/lectures,강의 선택 및 상세 화면으로 이동,강의 클릭 → 강의 상세 화면으로 이동,필수,
-,문학 강의 상세,-,/literature/lectures/:lectureId,문학 강의 상세 정보 및 학습 콘텐츠,강의 정보 표시,필수,
-,문학 강의 상세,강의 정보 표시,/literature/lectures/:lectureId,강의 제목/페이지 범위 등 정보 표시,강의 데이터 조회 → 정보 표시,필수,
-,문학 강의 상세,개념 목록 표시,/literature/lectures/:lectureId,강의 내 개념 목록 표시,개념 데이터 조회 → 목록 표시,필수,
-,문학 강의 상세,본문 목록 표시,/literature/lectures/:lectureId,강의 내 본문(작품) 목록 표시,본문 데이터 조회 → 목록 표시,필수,
-,문학 강의 상세,문제 목록 표시,/literature/lectures/:lectureId,강의 내 문제 목록 표시,문제 데이터 조회 → 목록 표시,필수,
-,문학 강의 상세,단원 학습으로 이동,/literature/lectures/:lectureId,개념/본문/문제 클릭 시 단원 학습으로 이동,항목 클릭 → 단원 학습 화면으로 이동,필수,
-,문학 강의 상세,AI 개념 설명 생성,/literature/lectures/:lectureId,AI를 통한 개념 상세 설명 생성,개념 선택 → API 호출 → 설명 표시,선택,
-,문학 강의 상세,AI 본문 설명 생성,/literature/lectures/:lectureId,AI를 통한 본문(작품) 상세 설명 생성,본문 선택 → API 호출 → 설명 표시,선택,
-,문학 강의 상세,AI 문제 설명 생성,/literature/lectures/:lectureId,AI를 통한 문제 해설 생성,문제 선택 → API 호출 → 해설 표시,선택,
-,영어 강의 목록,-,/english/lectures,영어 강의 목록 조회,강의 목록 조회,필수,
-,영어 강의 목록,강의 목록 조회,/english/lectures,영어 강의 목록 표시,API 호출 → 강의 목록 렌더링,필수,
-,영어 강의 목록,강의 선택,/english/lectures,강의 선택 및 상세 화면으로 이동,강의 클릭 → 강의 상세 화면으로 이동,필수,
-,영어 강의 상세,-,/english/lectures/:lectureId,영어 강의 상세 정보 및 학습 콘텐츠,강의 정보 표시,필수,
-,영어 강의 상세,강의 정보 표시,/english/lectures/:lectureId,강의 제목/페이지 범위 등 정보 표시,강의 데이터 조회 → 정보 표시,필수,
-,영어 강의 상세,개념 목록 표시,/english/lectures/:lectureId,강의 내 개념 목록 표시,개념 데이터 조회 → 목록 표시,필수,
-,영어 강의 상세,본문 목록 표시,/english/lectures/:lectureId,강의 내 본문 목록 표시,본문 데이터 조회 → 목록 표시,필수,
-,영어 강의 상세,문제 목록 표시,/english/lectures/:lectureId,강의 내 문제 목록 표시,문제 데이터 조회 → 목록 표시,필수,
-,영어 강의 상세,단원 학습으로 이동,/english/lectures/:lectureId,개념/본문/문제 클릭 시 단원 학습으로 이동,항목 클릭 → 단원 학습 화면으로 이동,필수,
-,수학1 강의 목록,-,/math1/lectures,수학1 강의 목록 조회,강의 목록 조회,필수,
-,수학1 강의 목록,강의 목록 조회,/math1/lectures,수학1 강의 목록 표시,API 호출 → 강의 목록 렌더링,필수,
-,수학1 강의 목록,강의 선택,/math1/lectures,강의 선택 및 상세 화면으로 이동,강의 클릭 → 강의 상세 화면으로 이동,필수,
-,수학1 강의 상세,-,/math1/lectures/:lectureId,수학1 강의 상세 정보 및 학습 콘텐츠,강의 정보 표시,필수,
-,수학1 강의 상세,강의 정보 표시,/math1/lectures/:lectureId,강의 제목/페이지 범위 등 정보 표시,강의 데이터 조회 → 정보 표시,필수,
-,수학1 강의 상세,개념 목록 표시,/math1/lectures/:lectureId,강의 내 개념 목록 표시,개념 데이터 조회 → 목록 표시,필수,
-,수학1 강의 상세,본문 목록 표시,/math1/lectures/:lectureId,강의 내 본문 목록 표시,본문 데이터 조회 → 목록 표시,필수,
-,수학1 강의 상세,문제 목록 표시,/math1/lectures/:lectureId,강의 내 문제 목록 표시,문제 데이터 조회 → 목록 표시,필수,
-,수학1 강의 상세,단원 학습으로 이동,/math1/lectures/:lectureId,개념/본문/문제 클릭 시 단원 학습으로 이동,항목 클릭 → 단원 학습 화면으로 이동,필수,
-,관리자 페이지,-,/admin,템플릿 관리 및 교재 업로드/파싱 관리,템플릿 관리,필수,관리자 전용
-,관리자 페이지,템플릿 목록 조회,/admin,등록된 템플릿 목록 표시,API 호출 → 템플릿 목록 렌더링,필수,
-,관리자 페이지,템플릿 생성 마법사,/admin,AI 기반 템플릿 자동 생성,목차 텍스트 입력 → AI 분석 → 템플릿 생성,필수,
-,관리자 페이지,템플릿 편집,/admin,기존 템플릿 수정,템플릿 선택 → 편집 → 저장,선택,
-,관리자 페이지,템플릿 삭제,/admin,템플릿 삭제,템플릿 선택 → 삭제 확인 → 삭제,선택,
-,관리자 페이지,템플릿 테스트,/admin,템플릿 파싱 테스트,테스트 PDF 선택 → 파싱 실행 → 결과 확인,선택,
-,관리자 페이지,PDF 파일 업로드,/admin,PDF 교재 파일 업로드,파일 선택 → 업로드 → 서버 저장,필수,
-,관리자 페이지,교재 정보 입력,/admin,과목/제목/연도 등 정보 입력,폼 입력 → 데이터 검증 → 저장,필수,
-,관리자 페이지,템플릿 선택,/admin,파싱에 사용할 템플릿 선택,템플릿 목록 조회 → 템플릿 선택,필수,
-,관리자 페이지,파싱 영역 마킹,/admin,PDF 페이지에서 파싱 영역 시각적 표시,PDF 표시 → 영역 마킹 → 저장,필수,
-,관리자 페이지,파싱 시작,/admin,교재 파싱 프로세스 시작,파싱 요청 → 백그라운드 작업 시작 → 상태 업데이트,필수,
-,관리자 페이지,파싱 상태 확인,/admin,진행 중인 파싱 상태 조회,상태 API 호출 → 진행률 표시,필수,
-,관리자 페이지,파싱 결과 검증,/admin,파싱 완료된 결과 검증,결과 데이터 조회 → 검증 → 피드백,필수,
-,관리자 페이지,파싱 재실행,/admin,실패한 파싱 재실행,재실행 요청 → 파싱 프로세스 재시작,선택,
-,관리자 페이지,파싱 결과 수정,/admin,파싱 결과 수동 수정,결과 데이터 편집 → 저장,선택,
